text,topic
What is the difference between the two characters of 自己?,characters
"How do you say ""A tight community""",vocabulary
What does the '头' in '头一次遇到' mean?,meaning in context
What does 500多个 mean?,meaning in context
What is this character from a neo-Confucian commentary?,"characters, character identification"
Do 向 and 学 or 学习 work together here？,meaning
What does this character mean? ,"meaning, character identification"
Reference: 'hou' in Sichuanese meaning 'to eat',"topolect, reference materials"
"""她从他的邻居那里借了一把铁锹，现在他正在用这把铁锹挖泥土。"" What does ""那里"" contribute to this sentence's meaning?","translation, grammar, ambiguity"
How do online stroke order dictionaries render intermediate stages?,"characters, software, stroke order"
"How to translate ""minister for loneliness""","translation, word choice"
Difference between 惊讶 and 吃惊？,vocabulary
Chinese Idiom puzzle 15 (中文填字遊戲),"idioms, games, puzzle"
What Possible Pronunciations of 也 exist in Suzhou Dialect?,topolect
What should a beginner be looking for when selecting a movie in Chinese?,movies
我可不觉得 - agree or disagree?,meaning
What's the glyph origin of 妖?,"etymology, glyph origin"
How to do basic similes (comparisons) in Chinese?,"word, syntax"
Can you 伤害 a person emotionally?,grammar
What does the sentence 该视频随即被上传至网络，转发量过万 translate to?,translation
Where can I find a decent Seal Script font?,seal
Please help to identify the character (Characters Identified: 招財進寳),character identification
"How do I translate 黄金鸡柳咖喱饭 (huángjīn jīliǔ gālí fàn), which means something like ""gold chicken willow curry with rice""?","translation, food"
What is the difference between 碰，触，碰触 and 触碰,mandarin
Simplified-traditional conversion; character disambiguation,traditional vs simplified
Explain the meaning of「打斧頭」,"meaning, cantonese"
Can someone translate this charm?,translation
Meaning of the headline 超流量平台,"translation, terminology"
Techniques for learning and retaining characters,"writing, learning, characters"
What does 多少 mean in 但是我也相对得到多少的感动?,"grammar, meaning"
Help with a better translation for 展示着它罕见和珍稀。,translation
What does 琴酒相壽 mean?,translation
Past 了 used with a simple object,grammar
What is the oldest known Chinese audio recording?,"history, audio"
shénmo pronounced as homophone of 什麼 shénme,"pronunciation, pinyin"
Medieval Chinese Pronunciation,"translation, pronunciation, classical chinese"
Where should I place 多 in large numbers?,grammar
"How do you say ""She was generous with her time""?",translation
Is there a clear linguistic explanation behind this mistranslation?,"translation, technology, mistakes"
What does this phrase mean? 有你真好。,"meaning, phrase"
Anyone know why cellphones are called 大哥大 in Taiwan?,"mandarin, etymology, taiwan"
去出回 Where is it appropriate to use each,word choice
Variations of 得 in 好玩得很,"grammar, vocabulary, sentence structure"
"How to say ""she short changed me"" (without negative conotation)?","translation, slang"
translations of praise and worship in Chinese,translation
What is the difference between 讯息 and 消息 and 信息?,difference
Error in Book? Need help,"translation, meaning, mandarin, usage, characters"
"Use of 还 in reference to ""on top of that, also""","translation, word choice, word requests, sentence structure"
"What is the ""ba"" that 周恩来 used when speaking to Kissinger?",meaning in context
Why do HSK lists differ from character frequency lists?,"characters, vocabulary, hsk"
What is the difference between the different words for street: 街，路 etc?,"word choice, characters"
"Expressing ""tea is not just a drink""",translation
What's the difference between classifiers and measure words?,"grammar, difference, measure word, linguistics"
Difference between 马上，立刻，直接,"meaning, usage"
Translation of signature on family shadow box art (Characters identified: 賀壽圖 北海貝雕),"translation, character identification, seal, calligraphy"
Is there any character with radical 月 that has a meaning of 月 (not 肉)?,word
written characters: bèi vs jiàn,"writing, handwriting, calligraphy"
How do I ask for more meat or rice?,mandarin
What is the meaning of 练 in 冬练三九？,meaning
"一张网页 or 一个网页 (""a webpage""): which is the better choice of measure word, and why?","difference, measure word"
Why is the Pinyin for 波 bo1 not buo1? And why is 多 duo1 instead of do1?,"mandarin, pinyin"
Why does 苏 have the meaning revive?,meaning
Result complement plus 过,word order
"Pronunciation differences between pinyin 'zh' and 'ch', and between 'qi' and 'xi'",pronunciation
Parts of speech question.,grammar
How was 辣 used before the Columbian Exchange?,"meaning, usage, characters, history, food"
早已 and 早就: what's the difference?,"meaning, usage, difference"
Radicals: inescapable?,radicals
Does Taiwanese Mandarin have the neutral tone?,"mandarin, pronunciation, taiwan"
「批烂斗臭」这个四字词语，除了「批评」强调什么？,"meaning, idioms"
how to translate 大脑迅速转动起来?,"word choice, translation, phrase"
"Colloquial translation of ""increase in price""","translation, vocabulary"
Is this a real Chinese Proverb? (Pumpkins and Time Management),proverb
"""Disgusting"" as the Chinese would say it","translation, hong kong, taiwanese"
"Why does the Chinese name for Poland mean ""abandoned honour""?",mandarin
Can anyone tell me anything about what's being said in the inscriptions and seals on this painting?,"translation, meaning, characters, character identification"
Communication - 交通，交流，联系，接触，沟通，交际，打交道,"vocabulary, difference"
Can anyone identify this mark? It is most likely not chinese based,translation
What's the difference between 一下子，一刹那，and 一时,"usage, difference"
"Has 咖啡色 replaced 茶色 in everyday use for ""brown"", or can I use both?","word choice, mandarin, difference, colors"
How to use 的 in Chinese?,"meaning, usage, dictionary"
What derogatory terms are there for Chinese people?,"mandarin, word requests"
Difference between 不 and 没(有) in the past tense,"grammar, verbs, past tense"
blood wall translation,translation
"Is it possible that 去 originally meant ""go to the toilet""?",etymology
Are the meanings of 班主任 and 助教 equivalent to 主班老师 and 配班老师?,"translation, word choice, vocabulary, word, terminology"
"What are the flavors of all those ""systems"":系统,体系,制度",usage
"""振聾發聵"" in English?",phrase
Why is the Cangjie code for 海 inconsistent?,input methods
This is a seal on a porcelain piece. I am not sure if it is from China or Japan. Can anyone tell me what it says? (Characters identified: 大明嘉靖年製),"translation, character identification, seal"
which one is a better translation and seems natural in Chinese?,translation
你 vs. 妳 for second person,"word choice, mandarin"
Chinese Idiom puzzle 21 (中文填字遊戲),"idioms, games, puzzle"
What does my Chinese name 林惠妃 mean?,"translation, names"
How was Switzerland transliterated into Chinese?,pronunciation
Any difference between 发蒙 and 上学 for children?,"meaning, difference"
Meaning of 漂漂亮亮地参加晚会,expressions
